"data.race","data.income"
"1614","white","$10000 - 14999"
"1615","white","$7000 to 7999"
"1616","white","$10000 - 14999"
"1617","white","$10000 - 14999"
"1618","white","$10000 - 14999"
"1619","white","$10000 - 14999"
"1620","white","$4000 to 4999"
"1621","white","$7000 to 7999"
"1622","white","$1000 to 2999"
"1623","white","$15000 - 19999"
"1624","white","$5000 to 5999"
"1625","white","$20000 - 24999"
"1626","white","$3000 to 3999"
"1627","white","$15000 - 19999"
"1628","white","$10000 - 14999"
"1629","white","$5000 to 5999"
"1630","white","$15000 - 19999"
"1631","white","$4000 to 4999"
"1632","white","$3000 to 3999"
"1634","black","$3000 to 3999"
"1635","white","lt $1000"
"1636","black","$15000 - 19999"
"1637","black","$3000 to 3999"
"1638","white","$5000 to 5999"
"1639","white","$8000 to 9999"
"1641","white","$4000 to 4999"
"1642","white","$8000 to 9999"
"1643","white","$15000 - 19999"
"1644","white","$3000 to 3999"
"1645","white","$4000 to 4999"
"1646","white","$8000 to 9999"
"1647","white","$3000 to 3999"
"1648","white","$25000 or more"
"1649","white","$25000 or more"
"1650","white","$20000 - 24999"
"1651","white","$25000 or more"
"1652","white","$25000 or more"
"1653","white","$20000 - 24999"
"1654","white","$8000 to 9999"
"1655","white","$7000 to 7999"
"1657","white","$10000 - 14999"
"1658","white","$8000 to 9999"
"1659","white","$7000 to 7999"
"1660","white","$10000 - 14999"
"1661","white","$8000 to 9999"
"1662","white","$4000 to 4999"
"1663","white","$15000 - 19999"
"1664","white","$15000 - 19999"
"1665","white","$10000 - 14999"
"1666","white","$15000 - 19999"
"1667","white","$20000 - 24999"
"1668","white","$5000 to 5999"
"1669","white","$8000 to 9999"
"1670","white","$15000 - 19999"
"1671","white","$15000 - 19999"
"1672","white","$20000 - 24999"
"1673","white","$10000 - 14999"
"1674","white","$8000 to 9999"
"1675","white","$10000 - 14999"
"1676","white","$10000 - 14999"
"1677","white","$10000 - 14999"
"1678","black","$6000 to 6999"
"1679","white","$3000 to 3999"
"1680","white","$5000 to 5999"
"1681","white","$7000 to 7999"
"1682","white","$10000 - 14999"
"1683","white","$6000 to 6999"
"1684","white","$10000 - 14999"
"1685","white","$5000 to 5999"
"1686","white","$15000 - 19999"
"1687","white","$15000 - 19999"
"1688","white","$4000 to 4999"
"1689","white","$3000 to 3999"
"1690","white","$1000 to 2999"
"1691","white","$7000 to 7999"
"1692","white","$6000 to 6999"
"1693","white","$10000 - 14999"
"1695","white","$3000 to 3999"
"1696","white","$10000 - 14999"
"1697","white","$25000 or more"
"1698","white","$8000 to 9999"
"1699","white","$6000 to 6999"
"1700","white","$20000 - 24999"
"1701","white","$3000 to 3999"
"1702","white","$10000 - 14999"
"1703","white","$1000 to 2999"
"1704","white","$10000 - 14999"
"1705","white","$10000 - 14999"
"1706","white","$15000 - 19999"
"1707","white","$15000 - 19999"
"1708","white","$5000 to 5999"
"1709","white","$7000 to 7999"
"1710","white","$10000 - 14999"
"1711","white","$4000 to 4999"
"1712","white","$25000 or more"
"1713","white","$8000 to 9999"
"1714","white","$3000 to 3999"
"1715","white","$1000 to 2999"
"1716","white","$10000 - 14999"
"1717","black","$8000 to 9999"
"1718","black","$5000 to 5999"
"1719","black","$6000 to 6999"
"1720","white","$20000 - 24999"
"1721","white","$10000 - 14999"
"1722","white","$15000 - 19999"
"1723","white","$20000 - 24999"
"1724","white","$10000 - 14999"
"1726","white","$10000 - 14999"
"1727","white","$10000 - 14999"
"1728","white","$15000 - 19999"
"1729","white","$25000 or more"
"1730","white","$4000 to 4999"
"1731","white","$15000 - 19999"
"1732","white","$7000 to 7999"
"1733","white","$15000 - 19999"
"1734","white","$20000 - 24999"
"1735","white","$6000 to 6999"
"1736","white","$10000 - 14999"
"1737","black","$7000 to 7999"
"1738","white","$10000 - 14999"
"1739","white","$10000 - 14999"
"1740","white","$10000 - 14999"
"1741","white","$10000 - 14999"
"1742","white","$15000 - 19999"
"1743","white","$4000 to 4999"
"1744","white","$5000 to 5999"
"1745","white","$8000 to 9999"
"1746","white","$6000 to 6999"
"1747","white","$1000 to 2999"
"1748","white","$10000 - 14999"
"1749","white","$1000 to 2999"
"1750","white","$10000 - 14999"
"1751","white","$7000 to 7999"
"1752","white","$10000 - 14999"
"1753","white","$15000 - 19999"
"1754","white","$20000 - 24999"
"1755","white","$15000 - 19999"
"1756","white","$8000 to 9999"
"1757","white","$8000 to 9999"
"1758","white","lt $1000"
"1759","white","$8000 to 9999"
"1760","white","$15000 - 19999"
"1761","white","$15000 - 19999"
"1762","white","$20000 - 24999"
"1763","white","$15000 - 19999"
"1764","white","$15000 - 19999"
"1765","white","$15000 - 19999"
"1766","white","$10000 - 14999"
"1767","white","$10000 - 14999"
"1768","white","$7000 to 7999"
"1769","white","$10000 - 14999"
"1770","white","$3000 to 3999"
"1771","white","$5000 to 5999"
"1772","white","$1000 to 2999"
"1773","white","$8000 to 9999"
"1774","white","$10000 - 14999"
"1775","white","$10000 - 14999"
"1776","white","$15000 - 19999"
"1777","white","$10000 - 14999"
"1778","white","$10000 - 14999"
"1779","white","$6000 to 6999"
"1780","white","$1000 to 2999"
"1781","white","$5000 to 5999"
"1782","white","$10000 - 14999"
"1783","white","$15000 - 19999"
"1784","white","$20000 - 24999"
"1785","black","$4000 to 4999"
"1786","black","$8000 to 9999"
"1787","black","$4000 to 4999"
"1788","black","$1000 to 2999"
"1789","black","$6000 to 6999"
"1790","white","$10000 - 14999"
"1791","white","$15000 - 19999"
"1792","white","$8000 to 9999"
"1793","white","$1000 to 2999"
"1794","white","$1000 to 2999"
"1795","white","$8000 to 9999"
"1796","white","$10000 - 14999"
"1797","white","$1000 to 2999"
"1800","white","$10000 - 14999"
"1803","white","$20000 - 24999"
"1804","white","$10000 - 14999"
"1805","white","$15000 - 19999"
"1806","white","$20000 - 24999"
"1808","white","$4000 to 4999"
"1809","white","$20000 - 24999"
"1810","white","$15000 - 19999"
"1811","white","$10000 - 14999"
"1812","white","$5000 to 5999"
"1813","white","$4000 to 4999"
"1815","white","$3000 to 3999"
"1816","white","$8000 to 9999"
"1817","white","$10000 - 14999"
"1818","white","$20000 - 24999"
"1819","white","$20000 - 24999"
"1820","white","$10000 - 14999"
"1822","white","$25000 or more"
"1823","white","$20000 - 24999"
"1824","white","$8000 to 9999"
"1825","white","$25000 or more"
"1826","white","$10000 - 14999"
"1827","white","$25000 or more"
"1828","white","$3000 to 3999"
"1829","white","$3000 to 3999"
"1830","white","$3000 to 3999"
"1831","white","$4000 to 4999"
"1832","white","lt $1000"
"1833","black","$15000 - 19999"
"1834","black","$8000 to 9999"
"1835","black","$8000 to 9999"
"1836","black","$10000 - 14999"
"1837","black","$15000 - 19999"
"1838","white","$5000 to 5999"
"1839","white","$6000 to 6999"
"1840","white","$15000 - 19999"
"1841","white","$5000 to 5999"
"1842","white","$8000 to 9999"
"1843","white","$10000 - 14999"
"1844","white","$10000 - 14999"
"1845","white","$15000 - 19999"
"1846","white","$15000 - 19999"
"1847","white","$7000 to 7999"
"1848","black","$1000 to 2999"
"1849","white","$15000 - 19999"
"1850","white","$5000 to 5999"
"1851","other","$10000 - 14999"
"1852","white","$20000 - 24999"
"1853","white","$10000 - 14999"
"1855","white","$15000 - 19999"
"1856","white","$20000 - 24999"
"1857","white","$10000 - 14999"
"1859","white","$20000 - 24999"
"1860","white","$10000 - 14999"
"1861","white","$1000 to 2999"
"1862","white","$6000 to 6999"
"1863","white","$15000 - 19999"
"1864","white","$10000 - 14999"
"1865","white","$10000 - 14999"
"1866","white","$10000 - 14999"
"1867","white","$8000 to 9999"
"1868","white","$8000 to 9999"
"1869","white","$8000 to 9999"
"1870","white","$6000 to 6999"
"1871","white","$3000 to 3999"
"1872","white","$25000 or more"
"1873","white","$10000 - 14999"
"1874","white","$10000 - 14999"
"1875","white","$3000 to 3999"
"1876","white","$20000 - 24999"
"1877","white","$20000 - 24999"
"1878","white","$20000 - 24999"
"1879","white","$15000 - 19999"
"1880","white","$10000 - 14999"
"1881","white","$10000 - 14999"
"1882","white","$10000 - 14999"
"1883","white","$8000 to 9999"
"1884","white","$10000 - 14999"
"1885","white","$10000 - 14999"
"1886","white","$7000 to 7999"
"1887","white","$15000 - 19999"
"1888","white","$7000 to 7999"
"1889","white","$10000 - 14999"
"1890","white","$10000 - 14999"
"1891","white","$15000 - 19999"
"1892","white","$10000 - 14999"
"1893","white","$8000 to 9999"
"1894","white","$5000 to 5999"
"1895","white","$10000 - 14999"
"1896","black","$10000 - 14999"
"1897","black","$3000 to 3999"
"1898","black","$4000 to 4999"
"1899","white","$1000 to 2999"
"1900","black","$3000 to 3999"
"1901","black","lt $1000"
"1902","white","$15000 - 19999"
"1903","white","$7000 to 7999"
"1904","white","$5000 to 5999"
"1905","white","$10000 - 14999"
"1906","white","$8000 to 9999"
"1907","white","$20000 - 24999"
"1908","white","$25000 or more"
"1909","white","$10000 - 14999"
"1910","white","$7000 to 7999"
"1911","white","$20000 - 24999"
"1912","white","lt $1000"
"1913","white","$1000 to 2999"
"1914","white","$3000 to 3999"
"1916","white","$7000 to 7999"
"1917","white","$10000 - 14999"
"1918","white","$10000 - 14999"
"1919","white","$8000 to 9999"
"1920","black","$8000 to 9999"
"1921","white","$5000 to 5999"
"1922","white","$3000 to 3999"
"1923","white","$1000 to 2999"
"1924","white","$10000 - 14999"
"1925","white","$7000 to 7999"
"1926","white","$3000 to 3999"
"1927","white","$25000 or more"
"1928","white","$10000 - 14999"
"1929","white","$5000 to 5999"
"1930","white","$10000 - 14999"
"1931","white","$10000 - 14999"
"1932","white","$15000 - 19999"
"1933","white","$10000 - 14999"
"1934","white","$10000 - 14999"
"1935","white","$10000 - 14999"
"1936","white","$7000 to 7999"
"1937","white","$10000 - 14999"
"1938","white","$3000 to 3999"
"1939","white","$8000 to 9999"
"1940","white","lt $1000"
"1941","white","$8000 to 9999"
"1942","white","$10000 - 14999"
"1943","white","$3000 to 3999"
"1944","white","$8000 to 9999"
"1945","white","$6000 to 6999"
"1946","white","$5000 to 5999"
"1947","other","$15000 - 19999"
"1948","white","$15000 - 19999"
"1949","white","$4000 to 4999"
"1950","white","$10000 - 14999"
"1951","white","$4000 to 4999"
"1952","white","$5000 to 5999"
"1954","white","$1000 to 2999"
"1955","white","$8000 to 9999"
"1956","white","$8000 to 9999"
"1957","white","$15000 - 19999"
"1958","white","$15000 - 19999"
"1959","white","$10000 - 14999"
"1960","black","$10000 - 14999"
"1961","white","$15000 - 19999"
"1962","white","$8000 to 9999"
"1964","white","$15000 - 19999"
"1965","white","$3000 to 3999"
"1966","white","$8000 to 9999"
"1967","white","$10000 - 14999"
"1968","white","$4000 to 4999"
"1969","white","$20000 - 24999"
"1970","white","$10000 - 14999"
"1972","white","$20000 - 24999"
"1973","white","$15000 - 19999"
"1974","white","$20000 - 24999"
"1975","white","$25000 or more"
"1976","white","$25000 or more"
"1977","white","$4000 to 4999"
"1978","white","$10000 - 14999"
"1979","white","$10000 - 14999"
"1980","black","$10000 - 14999"
"1981","white","$7000 to 7999"
"1982","white","$3000 to 3999"
"1983","white","$7000 to 7999"
"1984","white","$8000 to 9999"
"1985","white","$1000 to 2999"
"1987","white","$20000 - 24999"
"1988","white","$10000 - 14999"
"1989","white","$4000 to 4999"
"1990","white","$7000 to 7999"
"1991","white","$1000 to 2999"
"1992","white","$20000 - 24999"
"1993","white","$7000 to 7999"
"1994","white","$8000 to 9999"
"1995","white","$10000 - 14999"
"1997","white","$7000 to 7999"
"1998","white","$15000 - 19999"
"1999","white","$8000 to 9999"
"2000","white","$15000 - 19999"
"2001","white","$10000 - 14999"
"2002","white","$25000 or more"
"2003","white","$10000 - 14999"
"2004","other","$4000 to 4999"
"2005","white","$4000 to 4999"
"2006","white","$7000 to 7999"
"2007","white","$7000 to 7999"
"2009","white","$3000 to 3999"
"2010","white","$4000 to 4999"
"2011","white","$5000 to 5999"
"2012","white","$25000 or more"
"2013","white","$25000 or more"
"2014","white","$10000 - 14999"
"2015","white","$7000 to 7999"
"2016","white","$10000 - 14999"
"2017","white","$20000 - 24999"
"2018","white","$7000 to 7999"
"2019","white","$4000 to 4999"
"2020","white","$8000 to 9999"
"2021","white","$20000 - 24999"
"2022","white","$8000 to 9999"
"2023","white","$4000 to 4999"
"2024","white","$10000 - 14999"
"2025","white","$8000 to 9999"
"2026","white","$3000 to 3999"
"2027","white","$10000 - 14999"
"2028","white","$10000 - 14999"
"2029","white","$7000 to 7999"
"2030","white","lt $1000"
"2031","white","$8000 to 9999"
"2032","black","$25000 or more"
"2033","black","$8000 to 9999"
"2034","black","$5000 to 5999"
"2036","black","$1000 to 2999"
"2037","white","lt $1000"
"2038","white","$10000 - 14999"
"2039","white","$1000 to 2999"
"2040","white","$5000 to 5999"
"2041","white","$7000 to 7999"
"2042","white","$7000 to 7999"
"2044","white","$20000 - 24999"
"2045","white","$25000 or more"
"2046","white","$10000 - 14999"
"2048","white","$25000 or more"
"2049","white","$25000 or more"
"2050","white","$20000 - 24999"
"2051","white","$10000 - 14999"
"2052","white","$20000 - 24999"
"2053","white","$10000 - 14999"
"2054","white","$15000 - 19999"
"2055","white","$8000 to 9999"
"2056","white","$10000 - 14999"
"2057","white","$15000 - 19999"
"2058","white","$15000 - 19999"
"2059","white","$4000 to 4999"
"2060","white","$15000 - 19999"
"2061","white","$4000 to 4999"
"2062","white","$5000 to 5999"
"2063","white","$3000 to 3999"
"2064","white","$8000 to 9999"
"2065","white","$6000 to 6999"
"2066","white","$10000 - 14999"
"2067","black","lt $1000"
"2068","black","$1000 to 2999"
"2069","black","$25000 or more"
"2070","black","$1000 to 2999"
"2071","black","$8000 to 9999"
"2072","white","$10000 - 14999"
"2073","white","$20000 - 24999"
"2074","white","$15000 - 19999"
"2075","white","$15000 - 19999"
"2076","white","$20000 - 24999"
"2077","black","$6000 to 6999"
"2078","white","$4000 to 4999"
"2079","white","$8000 to 9999"
"2080","other","$10000 - 14999"
"2081","white","$7000 to 7999"
"2082","white","$15000 - 19999"
