"data.race","data.partyid"
"1","white","ind,near dem"
"2","white","not str democrat"
"3","white","independent"
"4","white","not str democrat"
"5","white","strong democrat"
"6","white","ind,near dem"
"7","white","ind,near dem"
"8","white","ind,near dem"
"9","black","strong democrat"
"10","black","strong democrat"
"11","black","strong democrat"
"12","black","not str republican"
"13","black","strong democrat"
"14","black","not str democrat"
"15","black","strong democrat"
"16","black","strong democrat"
"17","white","ind,near rep"
"18","white","ind,near rep"
"19","white","ind,near dem"
"20","white","ind,near rep"
"21","white","ind,near dem"
"22","white","not str democrat"
"23","white","ind,near dem"
"24","white","ind,near rep"
"25","white","strong republican"
"26","white","ind,near rep"
"27","white","independent"
"28","white","ind,near dem"
"29","white","independent"
"30","white","not str republican"
"31","white","strong republican"
"32","white","ind,near rep"
"33","white","strong democrat"
"34","white","not str republican"
"35","white","ind,near dem"
"36","white","not str democrat"
"37","white","not str republican"
"38","white","not str democrat"
"39","white","strong republican"
"40","white","not str republican"
"41","white","strong democrat"
"42","white","not str republican"
"43","white","ind,near rep"
"44","white","ind,near dem"
"45","white","not str republican"
"46","white","independent"
"47","white","not str democrat"
"48","white","other party"
"49","white","not str democrat"
"50","white","strong republican"
"51","white","strong democrat"
"52","white","ind,near dem"
"53","white","ind,near dem"
"54","white","ind,near rep"
"55","white","strong democrat"
"56","white","independent"
"57","white","strong democrat"
"58","white","strong democrat"
"59","white","strong democrat"
"60","white","not str democrat"
"61","white","not str republican"
"62","white","not str republican"
"63","white","strong republican"
"64","white","strong republican"
"65","white","not str republican"
"66","white","other party"
"67","white","other party"
"68","white","independent"
"69","white","ind,near dem"
"70","white","not str republican"
"71","white","not str democrat"
"72","white","ind,near dem"
"73","white","not str republican"
"74","white","independent"
"75","white","not str democrat"
"76","white","ind,near dem"
"77","white","not str democrat"
"78","white","strong democrat"
"79","white","not str republican"
"80","white","independent"
"81","white","not str democrat"
"82","white","ind,near rep"
"83","white","ind,near rep"
"84","white","other party"
"85","white","independent"
"86","white","not str republican"
"87","white","not str democrat"
"88","white","other party"
"89","white","ind,near dem"
"90","black","not str democrat"
"91","white","independent"
"92","white","strong democrat"
"93","white","other party"
"94","white","not str republican"
"95","white","not str democrat"
"96","white","strong republican"
"97","white","not str republican"
"98","white","strong republican"
"99","white","ind,near dem"
"100","white","ind,near dem"
"101","white","not str republican"
"102","white","not str democrat"
"103","white","ind,near dem"
"104","white","strong democrat"
"105","white","not str democrat"
"106","white","not str democrat"
"107","white","strong republican"
"108","white","ind,near dem"
"109","white","not str democrat"
"110","white","strong democrat"
"112","black","strong democrat"
"113","white","not str democrat"
"114","white","strong democrat"
"115","white","strong democrat"
"116","white","ind,near dem"
"117","black","not str democrat"
"118","black","independent"
"119","black","strong republican"
"120","black","not str democrat"
"121","black","ind,near rep"
"122","black","strong democrat"
"123","black","strong democrat"
"124","black","strong democrat"
"125","white","strong democrat"
"126","white","strong democrat"
"127","white","not str republican"
"128","white","ind,near dem"
"129","white","not str democrat"
"130","white","strong democrat"
"131","white","ind,near dem"
"132","white","ind,near dem"
"133","white","ind,near rep"
"134","white","not str democrat"
"135","white","not str democrat"
"136","white","not str democrat"
"137","white","not str democrat"
"138","white","other party"
"139","white","not str republican"
"140","white","not str republican"
"141","white","not str republican"
"142","white","not str democrat"
"143","white","independent"
"144","white","strong republican"
"145","white","not str democrat"
"146","white","not str democrat"
"147","white","ind,near dem"
"148","white","not str democrat"
"149","white","not str democrat"
"150","white","not str republican"
"151","white","independent"
"152","white","ind,near dem"
"153","white","strong republican"
"154","white","strong democrat"
"155","white","ind,near dem"
"156","white","not str democrat"
"157","white","strong democrat"
"158","white","independent"
"159","white","ind,near dem"
"160","white","ind,near dem"
"161","white","ind,near rep"
"162","white","ind,near rep"
"163","white","independent"
"164","white","strong democrat"
"165","white","ind,near dem"
"166","white","independent"
"167","white","independent"
"168","white","independent"
"169","white","strong republican"
"170","white","ind,near dem"
"171","white","strong republican"
"172","white","independent"
"173","white","other party"
"174","white","not str republican"
"175","white","strong republican"
"176","white","not str republican"
"177","white","ind,near rep"
"178","white","other party"
"179","white","ind,near dem"
"180","white","ind,near dem"
"181","black","strong democrat"
"182","black","ind,near dem"
"183","black","strong democrat"
"184","black","strong democrat"
"185","black","strong democrat"
"186","black","strong democrat"
"187","black","not str democrat"
"188","white","not str democrat"
"189","white","ind,near rep"
"190","white","independent"
"191","white","ind,near rep"
"192","white","ind,near rep"
"193","white","ind,near dem"
"194","white","strong republican"
"195","white","ind,near dem"
"196","white","strong democrat"
"197","white","not str democrat"
"198","white","not str democrat"
"199","white","not str democrat"
"200","white","not str republican"
"201","white","strong republican"
"202","white","other party"
"203","white","independent"
"204","white","not str democrat"
"205","white","strong democrat"
"206","white","strong democrat"
"207","white","not str democrat"
"208","white","not str democrat"
"209","white","not str republican"
"210","white","not str democrat"
"211","white","strong democrat"
"212","white","not str democrat"
"213","white","strong democrat"
"214","black","strong democrat"
"215","black","not str democrat"
"216","black","not str democrat"
"217","black","not str republican"
"218","black","other party"
"219","black","strong democrat"
"220","black","strong democrat"
"221","white","other party"
"222","white","not str republican"
"223","white","strong republican"
"224","white","not str republican"
"225","white","not str republican"
"226","white","not str republican"
"227","white","strong republican"
"228","white","not str republican"
"229","white","not str republican"
"230","white","not str democrat"
"231","white","ind,near dem"
"232","white","ind,near rep"
"233","white","ind,near rep"
"234","white","ind,near dem"
"235","white","not str republican"
"236","white","independent"
"237","white","independent"
"238","white","strong democrat"
"239","white","strong democrat"
"240","white","other party"
"241","white","not str democrat"
"242","white","strong democrat"
"243","white","strong democrat"
"244","white","not str democrat"
"245","white","not str democrat"
"246","white","ind,near dem"
"247","white","not str republican"
"248","white","not str democrat"
"249","white","ind,near rep"
"250","white","strong democrat"
"251","white","strong democrat"
"252","white","not str republican"
"253","white","independent"
"254","white","strong democrat"
"255","white","not str democrat"
"256","white","strong democrat"
"257","white","ind,near dem"
"258","white","strong democrat"
"259","white","strong democrat"
"260","white","not str republican"
"261","white","strong democrat"
"262","white","strong democrat"
"263","white","ind,near dem"
"264","white","other party"
"265","white","not str republican"
"266","white","other party"
